id,stationName,totalDocks,latitude,longitude,stAddress1
3112,Milton St & Franklin St,33,40.72906,-73.95779,Milton St & Franklin St
3113,Greenpoint Ave & Manhattan Ave,27,40.73026,-73.95394,Greenpoint Ave & Manhattan Ave
3114,India St & East River,23,40.73165141,-73.96161892,India St & East River
3115,India St & Manhattan Ave,34,40.73232194,-73.9550858,India St & Manhattan Ave
3116,Huron St & Franklin St,35,40.73266,-73.95826,Huron St & Franklin St
3117,Franklin St & Dupont St,27,40.73564,-73.95866,Franklin St & Dupont St
3118,McGuinness Blvd & Eagle St,30,40.73555,-73.95284,McGuinness Blvd & Eagle St
3119,Vernon Blvd & 50 Ave,45,40.74232744,-73.95411749,Vernon Blvd & 50 Ave
3120,Center Blvd & Borden Ave,20,40.74161,-73.96044,Center Blvd & Borden Ave
3121,Jackson Ave & 46 Rd,27,40.74524768,-73.94733276,Jackson Ave & 46 Rd
3122,48 Ave & 5 St,31,40.744363287066875,-73.9558732509613,48 Ave & 5 St
3123,31 St & Thomson Ave,27,40.74469738,-73.93540375,31 St & Thomson Ave
3124,46 Ave & 5 St,27,40.74731,-73.95451,46 Ave & 5 St
3125,45 Rd & 11 St,23,40.74708586,-73.94977234,45 Rd & 11 St
3126,44 Dr & Jackson Ave,34,40.74718234,-73.9432635,44 Dr & Jackson Ave
3127,9 St & 44 Rd,35,40.74966,-73.9521,9 St & 44 Rd
3128,21 St & 43 Ave,23,40.75052534,-73.94594845,21 St & 43 Ave
3129,Queens Plaza North & Crescent St,31,40.75110165,-73.94073717,Queens Plaza North & Crescent St
3131,E 68 St & 3 Ave,31,40.76712840349542,-73.96224617958069,E 68 St & 3 Ave
3132,E 59 St & Madison Ave,35,40.76350532,-73.97109243,E 59 St & Madison Ave
3134,3 Ave & E 62 St,51,40.76312584,-73.96526895,3 Ave & E 62 St
3135,E 75 St & 3 Ave,41,40.77112927,-73.95772297,E 75 St & 3 Ave
3136,5 Ave & E 63 St,47,40.76650452,-73.97147595,5 Ave & E 63 St
3137,5 Ave & E 73 St,31,40.77282817,-73.96685276,5 Ave & E 73 St
3138,E 77 St & Park Ave,47,40.774405455003,-73.96175265312193,E 77 St & Park Ave
3139,E 72 St & Park Ave,43,40.77118287540658,-73.96409422159195,E 72 St & Park Ave
3140,1 Ave & E 78 St,55,40.77140426,-73.9535166,1 Ave & E 78 St
3141,1 Ave & E 68 St,59,40.76500525,-73.95818491,1 Ave & E 68 St
3142,1 Ave & E 62 St,59,40.7612274,-73.96094022,1 Ave & E 62 St
3143,5 Ave & E 78 St,47,40.77682863439968,-73.96388769149779,5 Ave & E 78 St
3144,E 81 St & Park Ave,46,40.77677702,-73.9590097,E 81 St & Park Ave
3145,E 84 St & Park Ave,59,40.77862688,-73.95772073,E 84 St & Park Ave
3146,E 81 St & 3 Ave,47,40.77573034,-73.9567526,E 81 St & 3 Ave
3147,E 85 St & 3 Ave,39,40.77801203,-73.95407149,E 85 St & 3 Ave
